alert,etsy_source_row,etsy_listing_key,etsy_title,etsy_sku,printify_product_id,printify_title,printify_variant_id,printify_sku
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",AHY908Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",AHY904Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",AHY728Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",AHY724Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",AHOLLY90,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",AHOLLY72,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,28.0,88c434c6b9c052cb,"Halloween Table Runner, Ghost Vampire Mummy Fall Decor, Personalized Centerpiece (Optional Napkins)",90RN4,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,28.0,88c434c6b9c052cb,"Halloween Table Runner, Ghost Vampire Mummy Fall Decor, Personalized Centerpiece (Optional Napkins)",72Runner,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,28.0,88c434c6b9c052cb,"Halloween Table Runner, Ghost Vampire Mummy Fall Decor, Personalized Centerpiece (Optional Napkins)",90RN8,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,28.0,88c434c6b9c052cb,"Halloween Table Runner, Ghost Vampire Mummy Fall Decor, Personalized Centerpiece (Optional Napkins)",72RN8,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,28.0,88c434c6b9c052cb,"Halloween Table Runner, Ghost Vampire Mummy Fall Decor, Personalized Centerpiece (Optional Napkins)",72RN4,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,28.0,88c434c6b9c052cb,"Halloween Table Runner, Ghost Vampire Mummy Fall Decor, Personalized Centerpiece (Optional Napkins)",90Runner,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,29.0,2978f5dc97511177,"Personalized Thanksgiving Table Runner, Grateful Hearts Gather Fall Decor",90TGRN8NAP,,,,
